SectionId,SectionName,DistrictId,DistrictName,AreaId,AreaName,Link
6243296,USTA/FLORIDA,6243321,REGION_2,6243435,DUVAL,https://tennislink.usta.com/Leagues/reports/NTRP/SearchResults.aspx?Search=TreeNode&update=1&NationalNodeID=6243292&CYear=2025&SectionNodeID=6243296&DistrictNodeID=6243321&SubDistrictNodeID=6243435&DivisionNodeID=&FlightNodeID=&GenderCode=&NTRPRating=
6243296,USTA/FLORIDA,6243321,REGION_2,6243437,MARION,https://tennislink.usta.com/Leagues/reports/NTRP/SearchResults.aspx?Search=TreeNode&update=1&NationalNodeID=6243292&CYear=2025&SectionNodeID=6243296&DistrictNodeID=6243321&SubDistrictNodeID=6243437&DivisionNodeID=&FlightNodeID=&GenderCode=&NTRPRating=
6243296,USTA/FLORIDA,6243322,REGION_3,6243439,HILLSBOROUGH,https://tennislink.usta.com/Leagues/reports/NTRP/SearchResults.aspx?Search=TreeNode&update=1&NationalNodeID=6243292&CYear=2025&SectionNodeID=6243296&DistrictNodeID=6243322&SubDistrictNodeID=6243439&DivisionNodeID=&FlightNodeID=&GenderCode=&NTRPRating=
6243296,USTA/FLORIDA,6243322,REGION_3,6243438,PINELLAS,https://tennislink.usta.com/Leagues/reports/NTRP/SearchResults.aspx?Search=TreeNode&update=1&NationalNodeID=6243292&CYear=2025&SectionNodeID=6243296&DistrictNodeID=6243322&SubDistrictNodeID=6243438&DivisionNodeID=&FlightNodeID=&GenderCode=&NTRPRating=
6243296,USTA/FLORIDA,6243323,REGION_4,6243443,BREVARD,https://tennislink.usta.com/Leagues/reports/NTRP/SearchResults.aspx?Search=TreeNode&update=1&NationalNodeID=6243292&CYear=2025&SectionNodeID=6243296&DistrictNodeID=6243323&SubDistrictNodeID=6243443&DivisionNodeID=&FlightNodeID=&GenderCode=&NTRPRating=
6243296,USTA/FLORIDA,6243323,REGION_4,6243442,ORANGE/SEMINOLE/LAKE,https://tennislink.usta.com/Leagues/reports/NTRP/SearchResults.aspx?Search=TreeNode&update=1&NationalNodeID=6243292&CYear=2025&SectionNodeID=6243296&DistrictNodeID=6243323&SubDistrictNodeID=6243442&DivisionNodeID=&FlightNodeID=&GenderCode=&NTRPRating=
6243296,USTA/FLORIDA,6243323,REGION_4,6243440,POLK,https://tennislink.usta.com/Leagues/reports/NTRP/SearchResults.aspx?Search=TreeNode&update=1&NationalNodeID=6243292&CYear=2025&SectionNodeID=6243296&DistrictNodeID=6243323&SubDistrictNodeID=6243440&DivisionNodeID=&FlightNodeID=&GenderCode=&NTRPRating=
6243296,USTA/FLORIDA,6243323,REGION_4,6243441,VOLUSIA,https://tennislink.usta.com/Leagues/reports/NTRP/SearchResults.aspx?Search=TreeNode&update=1&NationalNodeID=6243292&CYear=2025&SectionNodeID=6243296&DistrictNodeID=6243323&SubDistrictNodeID=6243441&DivisionNodeID=&FlightNodeID=&GenderCode=&NTRPRating=
6243296,USTA/FLORIDA,6243324,REGION_5,,,https://tennislink.usta.com/Leagues/reports/NTRP/SearchResults.aspx?Search=TreeNode&update=1&NationalNodeID=6243292&CYear=2025&SectionNodeID=6243296&DistrictNodeID=6243324&SubDistrictNodeID=&DivisionNodeID=&FlightNodeID=&GenderCode=&NTRPRating=
6243296,USTA/FLORIDA,6243325,REGION_6,6243447,INDIAN RIVER/MARTIN/ST. LUCIE,https://tennislink.usta.com/Leagues/reports/NTRP/SearchResults.aspx?Search=TreeNode&update=1&NationalNodeID=6243292&CYear=2025&SectionNodeID=6243296&DistrictNodeID=6243325&SubDistrictNodeID=6243447&DivisionNodeID=&FlightNodeID=&GenderCode=&NTRPRating=
6243296,USTA/FLORIDA,6243325,REGION_6,6243445,NORTH PALM BEACH,https://tennislink.usta.com/Leagues/reports/NTRP/SearchResults.aspx?Search=TreeNode&update=1&NationalNodeID=6243292&CYear=2025&SectionNodeID=6243296&DistrictNodeID=6243325&SubDistrictNodeID=6243445&DivisionNodeID=&FlightNodeID=&GenderCode=&NTRPRating=
6243296,USTA/FLORIDA,6243325,REGION_6,6243446,SOUTH PALM BEACH,https://tennislink.usta.com/Leagues/reports/NTRP/SearchResults.aspx?Search=TreeNode&update=1&NationalNodeID=6243292&CYear=2025&SectionNodeID=6243296&DistrictNodeID=6243325&SubDistrictNodeID=6243446&DivisionNodeID=&FlightNodeID=&GenderCode=&NTRPRating=
6243296,USTA/FLORIDA,6243326,REGION_7,6243449,COLLIER,https://tennislink.usta.com/Leagues/reports/NTRP/SearchResults.aspx?Search=TreeNode&update=1&NationalNodeID=6243292&CYear=2025&SectionNodeID=6243296&DistrictNodeID=6243326&SubDistrictNodeID=6243449&DivisionNodeID=&FlightNodeID=&GenderCode=&NTRPRating=
6243296,USTA/FLORIDA,6243326,REGION_7,6243448,LEECHARLOTTE,https://tennislink.usta.com/Leagues/reports/NTRP/SearchResults.aspx?Search=TreeNode&update=1&NationalNodeID=6243292&CYear=2025&SectionNodeID=6243296&DistrictNodeID=6243326&SubDistrictNodeID=6243448&DivisionNodeID=&FlightNodeID=&GenderCode=&NTRPRating=
6243296,USTA/FLORIDA,6243327,REGION_8,6243450,BROWARD,https://tennislink.usta.com/Leagues/reports/NTRP/SearchResults.aspx?Search=TreeNode&update=1&NationalNodeID=6243292&CYear=2025&SectionNodeID=6243296&DistrictNodeID=6243327&SubDistrictNodeID=6243450&DivisionNodeID=&FlightNodeID=&GenderCode=&NTRPRating=
